wavelength[nm] mua(SO2>98%,literature)[mm-1] mua(SO2=0%,literature)[mm-1] mus(SO2>98%,literature) g(SO2>98%,literature)[-] mus(SO2>98%,KK/PY)[mm-1] mus(SO2=0%,KK/PY)[mm-1] g(SO2>98%,KK/PY)[-] g(SO2=0%,KK/PY)[-]
1555 0.97 1.01 33.90 0.9686 30.31 26.65 0.9513 0.9522
1560 0.91 0.97 33.82 0.9683 30.22 26.57 0.9510 0.9520
1565 0.85 0.92 33.73 0.9685 30.12 26.49 0.9508 0.9518
1570 0.82 0.87 33.63 0.9694 30.02 26.42 0.9506 0.9515
1575 0.79 0.82 33.53 0.9691 29.92 26.34 0.9504 0.9513
1580 0.75 0.78 33.37 0.9688 29.82 26.25 0.9502 0.9511
1585 0.73 0.75 32.93 0.9684 29.73 26.17 0.9499 0.9508
1590 0.72 0.71 32.60 0.9683 29.63 26.09 0.9497 0.9506
1595 0.70 0.69 32.55 0.9682 29.53 26.01 0.9495 0.9503
1600 0.69 0.67 32.48 0.9681 29.43 25.93 0.9492 0.9501
1605 0.67 0.65 32.44 0.9681 29.36 25.87 0.9489 0.9498
1610 0.66 0.64 32.40 0.9682 29.28 25.81 0.9486 0.9495
1615 0.64 0.62 32.32 0.9683 29.21 25.74 0.9483 0.9492
1620 0.64 0.62 32.21 0.9684 29.14 25.68 0.9480 0.9489
1625 0.63 0.61 31.76 0.9684 29.06 25.62 0.9477 0.9486
1630 0.63 0.61 31.50 0.9685 28.99 25.56 0.9474 0.9483
1635 0.62 0.61 31.38 0.9685 28.92 25.50 0.9471 0.9480
1640 0.62 0.61 31.21 0.9685 28.85 25.45 0.9468 0.9477
1645 0.62 0.60 31.08 0.9684 28.78 25.39 0.9465 0.9473
1650 0.60 0.59 31.02 0.9682 28.71 25.33 0.9462 0.9470
1655 0.58 0.57 31.10 0.9681 28.64 25.28 0.9459 0.9467
1660 0.57 0.56 31.17 0.9679 28.57 25.22 0.9456 0.9465
1665 0.57 0.56 30.97 0.9671 28.50 25.16 0.9453 0.9462
1670 0.57 0.56 30.75 0.9663 28.42 25.10 0.9450 0.9459
1675 0.57 0.56 30.48 0.9663 28.35 25.04 0.9447 0.9456
1680 0.57 0.56 30.23 0.9663 28.28 24.98 0.9444 0.9454
1685 0.57 0.57 30.02 0.9662 28.21 24.93 0.9442 0.9451
1690 0.58 0.58 29.81 0.9660 28.14 24.87 0.9439 0.9449
1695 0.59 0.58 29.66 0.9660 28.07 24.81 0.9437 0.9446
1700 0.60 0.59 29.65 0.9660 28.00 24.75 0.9434 0.9444
1705 0.60 0.59 29.75 0.9660 27.93 24.69 0.9432 0.9442
1710 0.61 0.60 29.75 0.9660 27.86 24.64 0.9430 0.9440
1715 0.61 0.61 29.40 0.9660 27.79 24.58 0.9428 0.9437
1720 0.62 0.61 29.08 0.9659 27.72 24.52 0.9425 0.9435
1725 0.62 0.62 28.89 0.9658 27.65 24.46 0.9423 0.9433
1730 0.64 0.63 28.71 0.9657 27.58 24.41 0.9421 0.9431
1735 0.65 0.64 28.55 0.9655 27.50 24.35 0.9419 0.9429
1740 0.67 0.65 28.49 0.9653 27.43 24.29 0.9417 0.9427
1745 0.69 0.66 28.56 0.9651 27.36 24.23 0.9415 0.9425
1750 0.71 0.68 28.62 0.9650 27.29 24.17 0.9413 0.9423
1755 0.74 0.72 28.43 0.9652 27.22 24.10 0.9411 0.9420
1760 0.76 0.75 28.23 0.9649 27.15 24.04 0.9408 0.9418
1765 0.78 0.79 28.00 0.9640 27.08 23.99 0.9406 0.9416
1770 0.81 0.81 27.76 0.9633 27.01 23.93 0.9404 0.9413
1775 0.83 0.82 27.59 0.9634 26.94 23.88 0.9401 0.9410
1780 0.84 0.83 27.49 0.9635 26.87 23.82 0.9398 0.9407
1785 0.86 0.84 27.55 0.9646 26.80 23.77 0.9395 0.9404
1790 0.88 0.84 27.60 0.9663 26.74 23.71 0.9392 0.9401
1795 0.88 0.84 27.37 0.9651 26.67 23.66 0.9389 0.9398
1800 0.87 0.84 27.14 0.9639 26.61 23.60 0.9386 0.9395
1805 0.86 0.83 26.89 0.9628 26.56 23.56 0.9383 0.9392
1810 0.84 0.84 26.65 0.9629 26.51 23.51 0.9379 0.9388
1815 0.83 0.84 26.55 0.9630 26.46 23.46 0.9376 0.9385
1820 0.81 0.84 26.57 0.9639 26.40 23.41 0.9372 0.9381
1825 0.79 0.85 26.65 0.9647 26.34 23.36 0.9369 0.9378
1830 0.78 0.88 26.56 0.9643 26.27 23.29 0.9365 0.9374
1835 0.78 0.90 26.33 0.9640 26.19 23.23 0.9362 0.9370
1840 0.80 0.94 26.11 0.9630 26.11 23.15 0.9358 0.9367
1845 0.80 0.97 25.97 0.9610 26.01 23.07 0.9355 0.9364
1850 0.87 1.02 25.75 0.9622 25.89 22.97 0.9351 0.9360
1855 1.10 1.21 25.52 0.9619 25.75 22.84 0.9348 0.9357
1860 1.40 1.81 25.23 0.9610 25.59 22.68 0.9345 0.9355
1865 1.78 2.19 24.79 0.9591 25.43 22.53 0.9342 0.9352
1870 2.16 2.65 24.35 0.9597 25.26 22.41 0.9339 0.9349
1875 3.03 3.24 23.96 0.9615 25.05 22.27 0.9337 0.9346
1880 3.90 3.99 23.57 0.9597 24.89 22.13 0.9334 0.9344
1885 4.60 5.05 23.77 0.9540 24.77 22.01 0.9332 0.9341
1890 5.30 5.89 24.16 0.9479 24.68 21.96 0.9329 0.9339
1895 6.16 6.56 24.03 0.9421 24.61 21.98 0.9326 0.9336
1900 7.10 7.00 23.90 0.9361 24.58 22.02 0.9324 0.9333
1905 7.40 7.33 23.96 0.9326 24.63 22.08 0.9321 0.9330
1910 7.69 7.41 24.27 0.9244 24.69 22.18 0.9318 0.9327
1915 8.01 7.41 24.48 0.9156 24.77 22.26 0.9315 0.9325
1920 8.08 7.41 24.25 0.9096 24.86 22.33 0.9312 0.9322
1925 8.13 7.57 24.15 0.9113 24.95 22.38 0.9309 0.9320
1930 8.17 7.70 24.26 0.9122 25.04 22.44 0.9307 0.9317
1935 8.22 7.84 24.03 0.9081 25.14 22.51 0.9304 0.9314
1940 7.97 7.73 23.75 0.9052 25.27 22.62 0.9301 0.9312
1945 7.79 7.57 23.54 0.9141 25.38 22.72 0.9298 0.9309
1950 7.58 7.41 23.32 0.9197 25.49 22.82 0.9296 0.9306
1955 7.34 7.25 23.06 0.9159 25.58 22.91 0.9293 0.9304
1960 7.11 7.07 22.69 0.9110 25.68 23.00 0.9290 0.9301
1965 6.87 6.85 22.63 0.9147 25.77 23.10 0.9287 0.9298
1970 6.63 6.63 22.63 0.9206 25.86 23.19 0.9284 0.9295
1975 6.40 6.41 22.32 0.9267 25.95 23.29 0.9282 0.9292
1980 6.17 6.19 22.15 0.9282 26.05 23.38 0.9279 0.9289
1985 6.00 6.04 22.24 0.9269 26.16 23.50 0.9275 0.9286
1990 5.86 5.88 22.27 0.9291 26.30 23.64 0.9272 0.9282
1995 5.72 5.73 22.26 0.9349 26.53 23.88 0.9268 0.9278
